"","0.80800000000000005","X2","73","X4","X5","X6","X7","74","X9","X10","X11","X12","X13","X14","X15","X16","75","X18","X19","X20","X21","76","X23","X24","X25","X26","77","X28","X29","X30","X31","78","X33","X34","X35","X36"
"1","Digital Access Attribute Totals
(sorted by winner below)",NA,"Cellular competitiveness level","raw data","difference","raw score","weighted score","Average cost of baseline package with data","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score","Free WIFI scale","raw data","difference","raw score","weighted score","Mobile phone infrastructure","raw data","difference","raw score","weighted score","Municipal government open urban data scale","raw data","difference","raw score","weighted score","Gamers + Developers scale","raw data","difference","raw score","weighted score"
"27","Los Angeles","62.483725879739012","Los Angeles","10","34","19.047619047619051","15.390476190476194","Los Angeles","34","1","34","9","3.7777777777777777","3.6933247165532879","84.940444415789372","68.631879087957813","Los Angeles","9","4","60","48.480000000000004","Los Angeles","3","0","100","80.800000000000011","Los Angeles","6","0","100","80.800000000000011","Los Angeles","5","0","100","80.800000000000011"
"28","Madrid","71.590125572099637","Madrid","28","16","61.904761904761905","50.019047619047619","Madrid","6.5","1.3277000000000001","8.6300500000000007","6.24","1.3830208333333334","1.2985677721088436","94.705081452413495","76.521705813550113","Madrid","13","0","100","80.800000000000011","Madrid","3","0","100","80.800000000000011","Madrid","3","3","75","60.6","Madrid","5","0","100","80.800000000000011"
"29","Manila","39.815709377207071","Manila","2","42","0","0","Manila","599","2.3599999999999999E-2","14.1364","1.29","10.958449612403101","10.87399655117861","55.661208246587108","44.974256263242388","Manila","7","6","40","32.32","Manila","3","0","100","80.800000000000011","Manila","-6","12","0","0","Manila","5","0","100","80.800000000000011"
"30","Mexico City","45.293736962276","Mexico City","8","36","14.285714285714292","11.542857142857148","Mexico City","163.37","7.8399999999999997E-2","12.808208","0.56999999999999995","22.470540350877197","22.386087289652707","8.7205832889424784","7.046231297465523","Mexico City","6","7","30","24.240000000000002","Mexico City","3","0","100","80.800000000000011","Mexico City","4","2","83.333333333333329","67.333333333333329","Mexico City","5","0","100","80.800000000000011"
"31","Miami","59.003979416726331","Miami","7","37","11.904761904761912","9.6190476190476257","Miami","41","1","41","8.0500000000000007","5.0931677018633534","5.0087146406388641","79.576933433964896","64.298162214643639","Miami","11","2","80","64.64","Miami","3","0","100","80.800000000000011","Miami","5","1","91.666666666666671","74.066666666666677","Miami","4","1","75","60.6"
"32","Montreal","59.010311162477478","Montreal","7","37","11.904761904761912","9.6190476190476257","Montreal","44.13","0.97109999999999996","42.854643000000003","10.050000000000001","4.2641435820895524","4.179690520865063","82.957284681291981","67.029486022483923","Montreal","9","4","60","48.480000000000004","Montreal","3","0","100","80.800000000000011","Montreal","4","2","83.333333333333329","67.333333333333329","Montreal","5","0","100","80.800000000000011"
"33","Moscow","39.502472812230643","Moscow","3","41","2.3809523809523796","1.9238095238095227","Moscow","199","3.1399999999999997E-2","6.2485999999999997","1.21","5.1641322314049587","5.0796791701804693","79.287575102608514","64.06436068290769","Moscow","5","8","20","16.16","Moscow","2","1","50","40.400000000000006","Moscow","2","4","66.666666666666657","53.86666666666666","Moscow","4","1","75","60.6"
"34","Mumbai","28.549123979815779","Mumbai","10","34","19.047619047619051","15.390476190476194","Mumbai","282","1.7100000000000001E-2","4.8222000000000005","0.43","11.214418604651165","11.129965543426675","54.617493013719226","44.130934355085138","Mumbai","6","7","30","24.240000000000002","Mumbai","1","2","0","0","Mumbai","4","2","83.333333333333329","67.333333333333329","Mumbai","2","3","25","20.200000000000003"
"35","Nairobi","38.709717512434082","Nairobi","3","41","2.3809523809523796","1.9238095238095227","Nairobi","0","1.18E-2","0","0.9","10.695322280682021","10.61086921945753","56.734111655274283","45.841162217461623","Nairobi","5","8","20","16.16","Nairobi","3","0","100","80.800000000000011","Nairobi","4","2","83.333333333333329","67.333333333333329","Nairobi","2","3","25","20.200000000000003"
"36","New Delhi","29.916104954213495","New Delhi","8","36","14.285714285714292","11.542857142857148","New Delhi","274","1.7100000000000001E-2","4.6854000000000005","0.62","7.5570967741935489","7.4726437129690595","69.530246595408997","56.180439249090476","New Delhi","6","7","30","24.240000000000002","New Delhi","1","2","0","0","New Delhi","4","2","83.333333333333329","67.333333333333329","New Delhi","2","3","25","20.200000000000003"
