"","0.75900000000000001","X2","86","X4","X5","X6","X7","87","X9","X10","X11","X12","X13","X14","X15","X16","88","X18","X19","X20","X21","X22","X23"
"1","Film Attribute Totals
(sorted by winner below)",NA,"FIlm festivals","raw data","difference","raw score","weighted score","Cost of a movie ticket","raw data","exchange rate","value in USD","minimum wage","tied to wage","difference","raw score","weighted score","Number of cinema seats","raw data","population","per 10000","difference","raw score","weighted score"
"21","Jakarta","29.005798085049964","Jakarta","0","80","0","12.175624999999998","Jakarta","43853.15","1E-4","4.3853150000000003","1.47","2.9832074829931976","2.0424103173598938","92.462054231973866","70.17869916206817","Jakarta","30000","11374022","26.375894120830782","400.65993129542386","6.1437023624265237","4.6630700930817319"
"22","Johannesburg","29.12858718066866","Johannesburg","23","57","28.75","21.821249999999999","Johannesburg","65","0.1038","6.7469999999999999","1.38","4.8891304347826088","3.9483332691493049","85.427843854895499","64.839733485865679","Johannesburg","1874","4434827","4.2256439766421554","422.81018143961245","0.95491179992134789","0.72477805614030311"
"23","Karachi","28.447210112511524","Karachi","22","58","27.5","20.872499999999999","Karachi","267.75","9.9000000000000008E-3","2.650725","0.52","5.0975480769230765","4.1567509112897723","84.658634617064436","64.255903674351913","Karachi","3169","23500000","1.3485106382978722","425.68731477795677","0.28093104503642508","0.21322666318264663"
"24","Lagos","14.066640514532166","Lagos","1","79","1.25","0.94874999999999998","Lagos","1500","6.3E-3","9.4499999999999993","0.71","13.309859154929578","12.369061989296274","54.349369622656781","41.251171543596499","Lagos","200","13400000","0.1492537313432836","426.88657168491136","0","0"
"25","Lima","25.714154293257561","Lima","7","73","8.75","6.6412500000000003","Lima","16.13","0.37619999999999998","6.0681059999999993","1.47","4.1279632653061222","3.1871660996728184","88.23709172989274","66.971952622988596","Lima","19503","9752000","19.998974569319113","407.03685084693552","4.6498817612438472","3.5292602567840801"
"26","London","58.307998939241621","London","80","0","100","75.900000000000006","London","11.56","1.5636000000000001","18.075216000000001","7.85","2.302575286624204","1.3617781209909001","94.974070813849522","72.085319747711793","London","123967","8173941","151.66123660545139","275.37458881080323","35.492328155484927","26.93867707001306"
"27","Los Angeles","52.475037389685703","Los Angeles","51","29","63.75","48.386250000000004","Los Angeles","13.07","1","13.07","9","1.4522222222222223","0.51142505658891835","98.112478032347482","74.467370826551743","Los Angeles","75585","3884307","194.59069532866479","232.44513008758983","45.548736946647374","34.571491342505354"
"28","Madrid","32.92321138517184","Madrid","11","69","13.75","10.436249999999999","Madrid","8.68","1.3277000000000001","11.524436","6.24","1.8468647435897434","0.90606757795643944","96.655966625927036","73.361878669078621","Madrid","26700","3165235","84.353926327745015","342.68189908850962","19.725303671194865","14.971505486436904"
"29","Manila","23.733858047981851","Manila","4","76","5","3.7949999999999999","Manila","222.2","2.3599999999999999E-2","5.2439199999999992","1.29","4.0650542635658908","3.124257097932587","88.469270660545376","67.148176431353946","Manila","1900","11855975","1.6025674817971529","425.43325793445746","0.34044494412596293","0.25839771259160588"
"30","Mexico City","34.835482390992041","Mexico City","23","57","28.75","21.821249999999999","Mexico City","65.41","7.8399999999999997E-2","5.1281439999999998","0.56999999999999995","8.9967438596491238","8.0559466940158195","70.267830722625433","53.333283518472705","Mexico City","146250","8851080","165.2340731300587","261.80175228619589","38.671822996710702","29.351913654503424"
