"","0.755","X2","89","X4","X5","X6","X7","90","X9","X10","X11","X12","91","X14","X15","X16","X17","92","X19","X20","X21","X22","93","X24","X25","X26","X27"
"1","Civic Engagement Attribute Totals
(sorted by winner below)",NA,"Voting age","raw data","difference","raw score","weighted score","Average age of city councillors (elected officials) in your city","raw data","difference","raw score","weighted score","Volunteer opportunities","raw data","difference","raw score","weighted score","Political influence - Youth advisory board","raw data","difference","raw score","weighted score","Volunteerism in high school scale","raw data","difference","raw score","weighted score"
"50","Tehran","22.370280283505156","Tehran","16","0","100","75.5","Tehran","53","14","27.835051546391753","21.015463917525775","Tehran","26","102","20.3125","15.3359375","Tehran","0","1200","0","0","Tehran","0","200","0","0"
"51","Tel Aviv","30.870354381443303","Tel Aviv","17","1","80","60.4","Tel Aviv","49.9","10.899999999999999","43.814432989690722","33.079896907216494","Tel Aviv","60","68","46.875","35.390625","Tel Aviv","45","1155","3.75","2.8312499999999998","Tel Aviv","60","140","30","22.65"
"52","Tokyo","8.6330575018041262","Tokyo","20","4","20","15.1","Tokyo","54.322834649999997","15.322834649999997","21.016316237113415","15.867318759020629","Tokyo","13","115","10.15625","7.66796875","Tokyo","0","1200","0","0","Tokyo","12","188","6","4.53"
"53","Toronto","15.40383236683849","Toronto","18","2","60","45.3","Toronto","53","14","27.835051546391753","21.015463917525775","Toronto","11","117","8.59375","6.48828125","Toronto","37","1163","3.0833333333333428","2.327916666666674","Toronto","5","195","2.5","1.8875"
"54","Vancouver","15.673887564432992","Vancouver","18","2","60","45.3","Vancouver","51","12","38.144329896907209","28.798969072164944","Vancouver","5","123","3.90625","2.94921875","Vancouver","21","1179","1.75","1.32125","Vancouver","0","200","0","0"
"55","Warsaw","21.315323453608251","Warsaw","18","2","60","45.3","Warsaw","47.82","8.82","54.536082474226802","41.174742268041236","Warsaw","12","116","9.375","7.078125","Warsaw","207","993","17.25","13.02375","Warsaw","0","200","0","0"
"56","Washington","22.46532159871915","Washington","18","2","60","45.3","Washington","52.8","13.799999999999997","28.86597938144331","21.793814432989699","Washington","na","na","na","5.4694602272727275","Washington","32","1168","2.6666666666666714","2.0133333333333367","Washington","100","100","50","37.75"
"57",NA,NA,"highest","21",NA,NA,NA,"highest","58.4",NA,NA,NA,"highest","128",NA,NA,NA,"highest","1200",NA,NA,NA,"highest","200",NA,NA,NA
"58",NA,"Africa","lowest","16",NA,NA,NA,"lowest","39",NA,NA,NA,"lowest","0",NA,NA,NA,"lowest","0",NA,NA,NA,"lowest","0",NA,NA,NA
"59",NA,"Asia","difference","5",NA,NA,NA,"difference","19.399999999999999",NA,NA,NA,"difference","128",NA,NA,NA,"difference","1200",NA,NA,NA,"difference","200",NA,NA,NA
