"","0.85199999999999998","X2","38","X4","X5","X6","X7","39","X9","X10","X11","X12","40","X14","X15","X16","X17","41","X19","X20","X21","X22","X23","X24"
"1","Employment Attribute Totals
(sorted by winner below)",NA,"Youth unemployment rate","raw data","difference","raw score","weighted score","Employment initiatives and programs scale","raw data","difference","raw score","weighted score","Youth Employment Centres","raw data","difference","raw score","weighted score","Number of new jobs created in 2013","raw data","population","per 1000","difference","raw score","weighted score"
"82","Mumbai","46.214678148730457","Manila","13","11.5","78.095238095238102","66.537142857142868","Los Angeles","2","0","100","85.2","Warsaw","9","31","22.5","19.169999999999998","Washington","8600","658893","13.052195121210879","58.569426500410749","25.613340362841228","21.822565989140728"
"83","Los Angeles","45.632767222230108","Vancouver","13.2","11.7","77.714285714285722","66.212571428571437","Madrid","2","0","100","85.2","Lagos",NA,"40","0","13.845000000000001","Bangkok",NA,"8280925","11.937058803548133","59.684562818073495","24.197050829761523","20.615887306956818"
"84","Vancouver","45.380921155004579","Dar Es Salaam","13.4","11.9","77.333333333333329","65.887999999999991","Mexico City","2","0","100","85.2","Casablanca","6","34","15","12.78","Hong Kong","N/A","7071600","11.937058803548133","59.684562818073495","24.197050829761523","20.615887306956818"
"85","Lima","44.818161913337889","Dallas","13.5","12","77.142857142857139","65.725714285714275","Montreal","2","0","100","85.2","Durban","6","34","15","12.78","Jakarta","0","11374022","11.937058803548133","59.684562818073495","24.197050829761523","20.615887306956818"
"86","Tel Aviv","44.637090992759084","Lima","13.5","12","77.142857142857139","65.725714285714275","Mumbai","2","0","100","85.2","Caracas","5","35","12.5","10.65","Karachi",NA,"23500000","11.937058803548133","59.684562818073495","24.197050829761523","20.615887306956818"
"87","Seoul","44.282356703036768","Rio De Janeiro","13.5","12","77.142857142857139","65.725714285714275","New York City","2","0","100","85.2","Dallas","5","35","12.5","10.65","Manila",NA,"11855975","11.937058803548133","59.684562818073495","24.197050829761523","20.615887306956818"
"88","Buenos Aires","43.626673645965553","Moscow","14.1","12.6","76","64.751999999999995","Osaka","2","0","100","85.2","Vancouver","5","35","12.5","10.65","New Delhi","130000","16787941","11.937058803548133","59.684562818073495","24.197050829761523","20.615887306956818"
"89","Warsaw","43.595519058875382","Jakarta","14.35","12.85","75.523809523809518","64.346285714285713","Paris","2","0","100","85.2","Detroit","4","36","10","8.52","Santiago","75000","6434576","11.655779650438507","59.965841971183124","23.839809554311316","20.311517740273242"
"90","Washington","43.400070068713745","Bogota","15","13.5","74.285714285714292","63.291428571428575","Rio De Janeiro","2","0","100","85.2","Lima","4","36","10","8.52","Lima","109300","9752000","11.207957342083676","60.413664279537954","23.271048553564896","19.826933367637292"
"91","Paris","43.050346284119804","Santiago","15.13","13.63","74.038095238095238","63.080457142857142","Rome","2","0","100","85.2","Manila",NA,"40","0","8.52","Accra",NA,"2269000","11.027899049349211","60.593722572272419","23.042363798791129","19.632093956570042"
"92","Sydney","42.766216393901665","Washington","15.6","14.1","73.142857142857139","62.317714285714281","San Francisco","2","0","100","85.2","Mumbai","4","36","10","8.52","Dar Es Salaam","9000","4364541","11.027899049349211","60.593722572272419","23.042363798791129","19.632093956570042"
"93","Istanbul","42.544977133907828","New Delhi","15.75","14.25","72.857142857142861","62.074285714285715","Santiago","2","0","100","85.2","Sao Paulo","4","36","10","8.52","Vancouver","6560","603502","10.869889412131194","60.751732209490434","22.841682149585537","19.461113191446877"
"94","Jakarta","42.540543255310631","Buenos Aires","16.100000000000001","14.600000000000001","72.19047619047619","61.50628571428571","Sao Paulo","2","0","100","85.2","Shanghai","4","36","10","8.52","Amsterdam","8500","813562","10.447882275720842","61.173739345900785","22.30570795457804","19.00446317730049"
"95","Bogota","41.671628075489807","Caracas","16.100000000000001","14.600000000000001","72.19047619047619","61.50628571428571","Seoul",NA,"2","0","85.2","Amsterdam","3","37","7.5","6.39","London","83000","8173941","10.154220589554049","61.467401032067578","21.932740124728966","18.686694586269077"
"96","Sao Paulo","41.359262986733924","Miami","16.399999999999999","14.899999999999999","71.61904761904762","61.01942857142857","Sydney","2","0","100","85.2","Bogota","3","37","7.5","6.39","Seoul","100000","10117909","9.8834650519193232","61.738156569702305","21.588864467644129","18.393712526432797"
"97","Rome","41.31958377372478","Sao Paulo","16.600000000000001","15.100000000000001","71.238095238095241","60.694857142857146","Tehran","2","0","100","85.2","Boston","3","37","7.5","6.39","Tehran","70000","8154051","8.584689990288263","63.036931631333367","19.939342793497261","16.988320060059667"
"98","Casablanca","41.298413404010141","Detroit","16.899999999999999","15.399999999999999","70.666666666666671","60.208000000000006","Tel Aviv","2","0","100","85.2","Dar Es Salaam","3","37","7.5","6.39","Johannesburg","33600","4434827","7.5763947500094142","64.045226871612215","18.658747791395541","15.897253118269001"
"99","Amsterdam","39.820044365753695","Shanghai","17","15.5","70.476190476190482","60.04571428571429","Tokyo","2","0","100","85.2","Accra","2","38","5","4.26","Sydney","34000","4757083","7.1472370778479162","64.474384543773709","18.113691990148652","15.432865575606652"
"100","Detroit","38.482000000000006","Warsaw","17.100000000000001","15.600000000000001","70.285714285714278","59.88342857142856","Toronto","2","0","100","85.2","Istanbul","2","38","5","4.26","Lagos","93040","13400000","6.9432835820895527","64.678338039532079","17.854658904504888","15.212169386638164"
"101","Durban","38.326014807778236","Toronto","17.600000000000001","16.100000000000001","69.333333333333329","59.071999999999996","Vancouver","2","0","100","85.2","Miami","2","38","5","4.26","Montreal","26300","3824220","6.877219406833289","64.744402214788337","17.770753467613474","15.140681954406679"
"102","London","38.183673646567271","New York City","18","16.5","68.571428571428569","58.42285714285714","Warsaw","2","0","100","85.2","Nairobi","2","38","5","4.26","Beirut","3400","1900000","5.1561623165592891","66.465459305062339","15.584908468953074","13.278342015548018"
"103","Shanghai","37.173364191818351","Chicago","18.5","17","67.61904761904762","57.611428571428569","Washington","2","0","100","85.2","Paris","2","38","5","4.26","Cairo","33918","10230350","5.1561623165592891","66.465459305062339","15.584908468953074","13.278342015548018"
"104","Miami","36.545053962303889","Istanbul","19.2","17.7","66.285714285714292","56.475428571428573","Accra","1","1","50","42.6","Tel Aviv","2","38","5","4.26","Dubai","n/a","2213845","5.1561623165592891","66.465459305062339","15.584908468953074","13.278342015548018"
"105","Johannesburg","36.086598993852959","Casablanca","19.3","17.8","66.095238095238102","56.313142857142864","Beirut","1","1","50","42.6","Washington","2","38","5","4.26","Mumbai","60000","12442373","4.8222312576547894","66.799390363966836","15.160796137567502","12.916998309207511"
